Code,Total Points,Total Lignes,Year,Ville Client,Code Postal,Nb Colis,Timbrecli,Timbrecde
51717,1200.0,2,2011,SAINT PIERRE DES NIDS,53,1,0.0,7.8
62603,1200.0,1,2014,ST MARTIN DES LANDES,61,1,0.0,8.7
59318,1200.0,2,2013,SAINT LUBIN DES JONCHERETS,28,1,0.0,8.7
74613,1200.0,1,2016,ST GERMAIN SUR SARTHE,72,1,0.0,9.7
61108,1200.0,1,2013,ST JAMES,50,1,0.0,8.7
64730,1200.0,2,2014,CEAUCE,61,1,0.0,9.0
45365,1200.0,3,2010,BLAINVILLE SUR MER,50,1,0.0,4.6
65419,1200.0,2,2014,ST REMY,14,1,0.0,9.0
73794,1200.0,1,2016,COURTOMER,61,1,0.0,9.7
64258,1200.0,2,2014,GRANVILLE,50,1,0.0,9.0
51754,1200.0,1,2011,SAINT PIERRE DES NIDS,53,2,0.0,7.8
57368,1200.0,2,2012,ST MARTIN DES LANDES,61,1,0.0,7.8
51864,1200.0,2,2011,MAREIL SUR LOIR,72,1,0.0,7.8
61638,1200.0,1,2013,BLAINVILLE SUR ORNE,14,1,0.0,8.7
